energy,tempo,instrumentalness,acousticness,danceability,key,loudness,mode,speechiness,liveness,valence,duration_ms,time_signature,label
0.194,75.981,0.808,0.973,0.615,4.0,-20.573,0,0.0393,0.12,0.589,145013.0,4.0,Mender
0.194,75.981,0.808,0.973,0.615,4.0,-20.573,0,0.0393,0.12,0.589,145013.0,4.0,Mender
0.129,56.596,0.899,0.993,0.376,6.0,-23.677,0,0.0397,0.142,0.561,59653.0,4.0,Mender
0.129,56.596,0.899,0.993,0.376,6.0,-23.677,0,0.0397,0.142,0.561,59653.0,4.0,Mender
0.373,84.121,0.0,0.648,0.487,2.0,-16.523,0,0.0288,0.144,0.552,354733.0,4.0,Mender
0.334,75.986,0.0,0.864,0.36,3.0,-3.706,0,0.031,0.127,0.365,100911.0,5.0,Mender
0.305,85.976,0.0,0.903,0.606,11.0,-7.478,0,0.0426,0.157,0.503,66533.0,4.0,Mender
0.13,61.913,0.699,0.996,0.552,9.0,-8.612,0,0.103,0.127,0.356,154998.0,3.0,Mender
0.555,83.878,2.35e-05,0.942,0.284,1.0,-6.558,0,0.0362,0.141,0.47,247173.0,4.0,Mender
0.0532,80.306,0.898,0.995,0.307,4.0,-31.453,0,0.0403,0.11,0.514,174600.0,4.0,Mender
0.419,81.686,3.73e-05,0.913,0.203,11.0,-12.363,0,0.0356,0.417,0.451,379973.0,4.0,Mender
0.0489,97.303,0.949,0.964,0.514,1.0,-23.578,0,0.0275,0.233,0.453,52213.0,1.0,Mender
0.0891,86.995,0.698,0.987,0.336,0.0,-22.485,0,0.0493,0.124,0.373,60026.0,4.0,Mender
0.334,85.001,0.0,0.883,0.44,2.0,-13.126,0,0.0365,0.357,0.5,98506.0,4.0,Mender
0.15,84.359,0.2,0.984,0.534,0.0,-14.58,0,0.0422,0.248,0.53,42586.0,4.0,Mender
0.0489,97.303,0.949,0.964,0.514,1.0,-23.578,0,0.0275,0.233,0.453,52213.0,1.0,Mender
0.115,85.384,0.163,0.985,0.368,0.0,-22.659,0,0.0457,0.121,0.503,61826.0,4.0,Mender
0.15,84.359,0.2,0.984,0.534,0.0,-14.58,0,0.0422,0.248,0.53,42586.0,4.0,Mender
0.0891,86.995,0.698,0.987,0.336,0.0,-22.485,0,0.0493,0.124,0.373,60026.0,4.0,Mender
0.49,84.837,0.0,0.827,0.529,0.0,-10.454,0,0.938,0.467,0.488,155960.0,4.0,Mender
0.559,82.852,2.62e-06,0.833,0.534,3.0,-20.687,0,0.925,0.93,0.594,68980.0,3.0,Mender
