energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.961,104.054,1.31e-05,0.00558,0.671,0.922,Kinetik
0.803,103.04,0.285,0.0709,0.763,0.561,Kinetik
0.824,114.998,0.0152,0.177,0.667,0.518,Kinetik
0.811,103.502,0.000142,0.00132,0.736,0.609,Kinetik
0.789,129.802,0.00708,0.00178,0.674,0.918,Kinetik
0.907,116.998,0.3,0.0164,0.694,0.783,Kinetik
0.926,115.753,0.00174,0.0486,0.687,0.58,Kinetik
0.978,116.169,0.453,0.000321,0.754,0.89,Kinetik
0.961,101.368,0.423,0.000425,0.659,0.537,Kinetik
0.839,135.997,0.00049,0.0195,0.922,0.977,Kinetik
0.961,101.368,0.423,0.000425,0.659,0.537,Kinetik
0.805,128.181,0.168,0.132,0.762,0.345,Kinetik
0.808,139.892,0.0,0.0432,0.702,0.653,Kinetik
0.776,105.01,2.39e-06,0.323,0.721,0.815,Kinetik
0.811,138.992,0.0,0.0617,0.664,0.722,Kinetik
0.826,116.009,0.0,0.195,0.665,0.918,Kinetik
0.883,121.963,0.0,0.0178,0.697,0.796,Kinetik
0.869,100.684,0.00339,0.00242,0.689,0.84,Kinetik
0.891,116.68,0.000351,0.14,0.695,0.841,Kinetik
0.955,116.17,0.0,0.0692,0.653,0.904,Kinetik
0.775,131.995,0.0,0.0326,0.671,0.671,Kinetik
0.896,115.4,0.0201,0.382,0.67,0.787,Kinetik
0.896,104.949,1.29e-05,0.35,0.776,0.396,Kinetik
0.812,138.185,0.000763,0.0164,0.699,0.662,Kinetik
0.82,119.993,0.0,0.0496,0.703,0.934,Kinetik
0.823,120.018,0.427,0.0133,0.744,0.962,Kinetik
0.856,130.034,3.65e-05,0.0778,0.75,0.94,Kinetik
0.854,125.637,1.2e-06,0.179,0.666,0.803,Kinetik
0.773,100.006,0.0,0.000901,0.658,0.66,Kinetik
0.773,100.006,0.0,0.000901,0.658,0.66,Kinetik
0.773,100.006,0.0,0.000901,0.658,0.66,Kinetik
0.773,100.006,0.0,0.000901,0.658,0.66,Kinetik
0.794,114.62,0.00134,0.00769,0.654,0.678,Kinetik
0.874,123.979,8.33e-06,0.034,0.693,0.647,Kinetik
0.874,123.979,8.33e-06,0.034,0.693,0.647,Kinetik
0.874,123.979,8.33e-06,0.034,0.693,0.647,Kinetik
0.874,123.979,8.33e-06,0.034,0.693,0.647,Kinetik
0.874,123.979,8.33e-06,0.034,0.693,0.647,Kinetik
0.923,108.014,0.0469,0.0425,0.695,0.551,Kinetik
0.902,119.008,8.74e-05,0.169,0.668,0.913,Kinetik
0.865,102.998,0.0,0.0212,0.701,0.88,Kinetik
0.905,118.119,0.00149,0.0921,0.714,0.362,Kinetik
0.789,129.802,0.00708,0.00178,0.674,0.918,Kinetik
0.789,129.802,0.00708,0.00178,0.674,0.918,Kinetik
0.855,125.639,1.2e-06,0.179,0.666,0.803,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.918,128.016,0.00127,0.000148,0.725,0.503,Kinetik
0.768,124.011,0.0,0.000605,0.808,0.554,Kinetik
