energy,tempo,instrumentalness,acousticness,danceability,key,loudness,mode,speechiness,liveness,valence,duration_ms,time_signature,label
0.3429999999999999,104.834,0.897,0.906,0.382,2.0,-14.997,1.0,0.031,0.12,0.1009999999999999,153600.0,4.0,Composer
0.319,77.696,0.912,0.818,0.133,4.0,-10.197,1.0,0.0306,0.0936,0.0589,259893.0,4.0,Composer
0.503,93.881,0.89,0.616,0.247,5.0,-10.322,0.0,0.0379,0.286,0.107,256107.0,4.0,Composer
0.555,82.084,0.875,0.6409999999999999,0.102,0.0,-10.550999999999998,0.0,0.0566,0.249,0.0691,376360.0,4.0,Composer
0.451,101.395,0.667,0.621,0.4429999999999999,7.0,-11.36,1.0,0.0323,0.1169999999999999,0.377,619600.0,4.0,Composer
0.361,103.637,0.616,0.942,0.691,1.0,-13.193,0.0,0.0559,0.11,0.708,209680.0,4.0,Composer
0.545,90.042,0.87,0.562,0.812,3.0,-12.764,1.0,0.0369,0.168,0.802,64196.0,4.0,Composer
0.535,98.119,0.929,0.619,0.397,5.0,-10.016,1.0,0.0304,0.114,0.733,221917.0,4.0,Composer
0.545,88.45200000000001,0.603,0.745,0.588,10.0,-12.814,0.0,0.0497,0.113,0.374,263729.0,4.0,Composer
0.44,80.15,0.892,0.9,0.414,7.0,-10.688,1.0,0.0314,0.237,0.17,244653.0,4.0,Composer
0.504,105.096,0.828,0.578,0.584,0.0,-8.325,1.0,0.0243,0.107,0.0514,316413.0,4.0,Composer
0.349,104.929,0.932,0.988,0.586,4.0,-9.891,0.0,0.0296,0.113,0.337,179600.0,3.0,Composer
0.35,80.835,0.677,0.653,0.3379999999999999,6.0,-20.368,1.0,0.0364,0.098,0.436,427467.0,4.0,Composer
0.4039999999999999,87.803,0.968,0.469,0.252,5.0,-14.073,1.0,0.0443,0.123,0.0319,119600.0,4.0,Composer
0.621,77.521,0.939,0.424,0.603,9.0,-7.555,1.0,0.0248,0.1939999999999999,0.3379999999999999,194973.0,4.0,Composer
0.451,104.304,0.825,0.7609999999999999,0.208,1.0,-12.368,0.0,0.0519,0.181,0.0466,375947.0,3.0,Composer
0.341,78.11,0.815,0.439,0.147,5.0,-18.236,0.0,0.0504,0.0794,0.205,96627.0,3.0,Composer
0.4320000000000001,97.621,0.954,0.925,0.667,7.0,-13.367,1.0,0.0526,0.18,0.972,132387.0,4.0,Composer
0.351,89.446,0.894,0.802,0.526,0.0,-13.834,0.0,0.0547,0.0948,0.962,302907.0,4.0,Composer
0.33,75.641,0.871,0.93,0.5,8.0,-12.647,1.0,0.0444,0.155,0.5920000000000001,457173.0,4.0,Composer
0.436,95.952,0.873,0.917,0.369,3.0,-10.572,1.0,0.0465,0.344,0.385,392173.0,3.0,Composer
0.476,84.09299999999998,0.8390000000000001,0.583,0.262,1.0,-12.294,1.0,0.0483,0.235,0.156,293360.0,4.0,Composer
0.425,79.132,0.903,0.825,0.5870000000000001,0.0,-11.363,0.0,0.0305,0.0938,0.2319999999999999,326467.0,4.0,Composer
0.325,105.957,0.92,0.971,0.713,2.0,-19.469,1.0,0.143,0.313,0.316,378387.0,4.0,Composer
